q_BSC,c_BSC,q_Nusinersen,c_Nusinersen,q_OA,c_OA,q_Risdiplam,c_Risdiplam
0.46909909721530674,1792664.2365183837,1.5982679944295541,4163031.521977831,8.789382876585158,5271001.722763464,7.249734416276821,8170092.572192227
0.6580900063913747,1832660.42868655,1.9275232691012185,4372697.440866167,8.12508070856627,4565743.363556001,8.45600281200111,8489353.821953624
0.5721710336298153,966677.8840735448,1.2711537926807288,2796342.479018093,6.136450425474163,4525670.474986207,6.431366634585281,7187119.15889004
0.49983671818932496,1531266.6733898337,2.2876207962184694,5022645.159541126,8.038176295631253,5169838.245094562,6.699140541254272,7621940.507272346
0.6169608059276809,1896702.7552754777,1.6517741799485417,4862630.486800195,5.624907602234945,5108100.047519235,5.515815676480365,7682668.508997146
0.7226295783046394,2083330.1363863526,2.710312122156414,5451686.518191762,7.324515039652541,4967633.718804905,7.229382723381459,7564124.632756336
1.067674026000737,2230307.4683472035,3.792951894140125,7098864.3564151265,7.075342112348263,4798457.6297815405,6.108198739899305,7155246.468698775
0.48158836576082364,1221091.906122585,2.546484651373342,5236625.377127158,7.375657381825011,5344089.921358497,7.32879768109443,8563488.325836875
0.7201638719685658,1673346.2264088735,2.333165787549677,5442022.18541764,7.333380234988272,4963774.534152015,6.382442040205576,7723336.925497519
0.8203075385145859,1923957.9298846845,2.3503905208290137,4532407.329636593,8.438557909364812,5054751.217970692,7.219949183821708,6937032.31514863
1.027605280784761,2080794.1003163394,2.013004671213773,4096763.910209736,9.688046924225327,4579342.783170987,8.343116533802299,7802290.613640581
0.6053779568744534,1578650.650846543,2.506620974369783,5323407.636885029,4.5663587753428025,3709610.7959602512,5.4211096237559975,6634378.056336647
0.7747173369890235,1806730.503740355,1.9446511571374065,4506120.544235568,7.262282900355795,4813362.371121202,5.230045793250259,6854680.407674673
0.5299416110755697,1308771.5164029056,3.3078267132584704,5433911.262586289,3.3573043734160124,3708925.3101062994,8.985252658371284,8511758.939967878
0.5629448785826612,1616712.9577405257,2.2308028501816346,5216504.068848785,5.391508747556301,4972287.905390774,6.128536967965989,7456018.226683341
0.6546331605667344,1705375.7565370034,1.9052039223146922,4462170.091788196,7.5194011468836806,4346969.454826078,6.9456383063214755,8255702.830574696
0.7152414758281878,1453698.4994760088,2.809058784582442,5772673.827255072,6.684763283036108,4790986.865010729,4.8759013012649515,6552066.386338442
